Time,Observed_Flux,Reference_Flux,Flux_Ratio,Normalized Flux,Uncertainty,Orientation
112.742,277998,1384241,0.200831,1.00896,0.00163,3
112.867,278052,1384642,0.200811,1.00886,0.00157,3
113.018,278029,1384472,0.200820,1.00890,0.00158,3
113.234,277993,1384621,0.200772,1.00867,0.00161,3
113.338,278018,1384317,0.200834,1.00898,0.00161,3
113.550,278053,1384618,0.200816,1.00888,0.00163,3
113.733,278046,1384486,0.200830,1.00895,0.00162,3
114.166,277968,1384404,0.200785,1.00873,0.00165,3
229.825,283733,1408715,0.201413,1.01067,0.00257,0
258.006,283423,1407913,0.201307,1.01014,0.00267,0
290.086,268042,1332411,0.201171,1.00574,0.00153,1
320.980,268832,1332528,0.201746,1.00861,0.00162,1
349.037,268720,1331627,0.201798,1.00887,0.00156,1
382.955,275452,1377897,0.199908,1.00908,0.00484,2
383.035,275495,1378097,0.199910,1.00909,0.00483,2
412.766,275353,1381124,0.199369,1.00636,0.00460,2
441.740,273902,1381975,0.198196,1.00044,0.00502,2
474.535,276125,1379789,0.200121,1.00541,0.00156,3
503.428,275547,1378483,0.199891,1.00427,0.00154,3
537.695,275378,1375253,0.200238,1.00600,0.00173,3
566.057,279781,1402980,0.199419,1.00100,0.00256,0
597.811,280641,1400955,0.200321,1.00520,0.00248,0
628.829,280421,1400350,0.200251,1.00485,0.00266,0
659.806,265617,1324798,0.200496,1.00238,0.00153,1
689.762,266120,1324664,0.200896,1.00437,0.00157,1
719.084,265682,1324891,0.200531,1.00255,0.00158,1
752.576,272275,1368110,0.199015,1.00458,0.00483,2
781.739,271728,1372220,0.198021,0.99956,0.00462,2
844.444,273245,1370321,0.199402,1.00183,0.00166,3
873.644,272944,1368418,0.199922,1.00211,0.00163,3
905.459,272206,1365061,0.199409,1.00186,0.00159,3
936.477,275546,1391437,0.198030,0.99371,0.00247,0
968.762,276586,1389492,0.199055,0.99885,0.00236,0
999.801,277627,1387847,0.200415,1.00380,0.00248,0
1031.800,263255,1316791,0.199922,0.99951,0.00153,1
1062.757,263785,1317059,0.200283,1.00132,0.00151,1
1097.862,263738,1316417,0.200345,1.00162,0.00156,1
1125.427,269393,1357792,0.198405,1.00150,0.00453,2
1153.523,268327,1359507,0.197371,0.99628,0.00474,2
1181.558,266378,1361569,0.195641,0.98754,0.00505,2
1214.517,266884,1357982,0.196530,0.98748,0.00168,3
1244.453,264824,1356515,0.195224,0.98096,0.00166,3
1272.590,264792,1353002,0.195707,0.98337,0.00166,3
1304.527,268808,1380987,0.194649,0.97677,0.00250,0
1335.832,269135,1378297,0.195266,0.97986,0.00237,0
1370.855,268435,1377283,0.194902,0.97803,0.00256,0
1403.835,255025,1308199,0.194944,0.97467,0.00168,1
1434.914,255839,1307564,0.195661,0.97825,0.00150,1
1470.673,255686,1307448,0.195561,0.97775,0.00156,1
1497.564,261275,1345623,0.194167,0.98010,0.00469,2
1524.495,260101,1347812,0.192980,0.97411,0.00456,2
1557.495,261323,1349036,0.193711,0.97780,0.00496,2